,index,Year,TmCode,Role,Tms,Overall_WL%_Rank,Overall_T/G_Rank,Overall_PtsDiff_Rank,Overall_YdsDiff_Rank,Offense_Yds_Rank,Offense_Pts_Rank,Offense_GvA_Rank,Rushing Off_Att_Rank,Rushing Off_Yds_Rank,Rushing Off_TD_Rank,Rushing Off_Y/A_Rank,Rushing Off_FL_Rank,Passing Off_Att_Rank,Passing Off_Yds_Rank,Passing Off_TD_Rank,Passing Off_Int_Rank,Passing Off_NY/A_Rank,Defense_Yds_Rank,Defense_Pts_Rank,Defense_TkA_Rank,Rushing Def_Att_Rank,Rushing Def_Yds_Rank,Rushing Def_TD_Rank,Rushing Def_Y/A_Rank,Rushing Def_FR_Rank,Passing Def_Att_Rank,Passing Def_Yds_Rank,Passing Def_TD_Rank,Passing Def_Int_Rank,Passing Def_netY/A_Rank,Name,Age,Tm,Lg,G,W,L,T,W-L%_1,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L%_2,Num,Won,Rank,Notes
29,29,1992,MIA,HC,28,4,15,11,6,5,8,15,20,24,19,20,20,2,2,4,12,4,10,11,16,10,6,8,4,13,25,14,8,14,9,Don Shula+,62,Miami Dolphins,NFL,16,11,5,0,.688,1.5,2.1,-0.6,2,1,1,.500,,,1,
30,30,1993,MIA,HC,28,9,22,15,5,2,5,18,22,25,15,26,18,3,1,3,15,2,20,24,19,17,14,17,7,11,25,21,27,19,16,Don Shula+,63,Miami Dolphins,NFL,16,9,7,0,.563,-0.5,3.9,-4.3,,,,,,,2,
31,31,1994,MIA,HC,28,6,13,7,4,1,3,19,14,13,9,10,19,4,2,3,16,3,19,17,10,5,6,20,14,24,21,25,18,1,20,Don Shula+,64,Miami Dolphins,NFL,16,10,6,0,.625,4.2,4.5,-0.3,2,1,1,.500,,,1,
32,32,1995,MIA,HC,30,9,18,7,9,8,7,18,19,21,8,23,9,9,4,7,20,6,16,10,15,11,12,2,20,8,17,19,29,23,19,Don Shula+,65,Miami Dolphins,NFL,16,9,7,0,.563,2.7,3.1,-0.4,1,0,1,.000,,,3,
33,0,1920,CHI,HC,14,2,1,5,1,1,7,1,1,1,3,1,1,1,1,7,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,George Halas+,25,Decatur Staleys,APFA,13,10,1,2,.909,10.7,0.7,10.0,,,,,,,2,
34,1,1921,CHI,HC,21,1,1,4,1,1,7,1,1,1,7,1,1,1,1,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,George Halas+,26,Chicago Staleys,APFA,11,9,1,1,.900,2.9,0.4,2.6,,,,,,,1,NFL Champions 
35,2,1922,CHI,HC,18,2,1,3,1,1,6,1,1,1,4,1,1,1,1,12,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,George Halas+,27,Chicago Bears,NFL,12,9,3,0,.750,6.1,0.0,6.2,,,,,,,2,
36,3,1923,CHI,HC,20,2,1,4,1,1,5,1,1,1,2,1,1,1,1,11,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,George Halas+,28,Chicago Bears,NFL,12,9,2,1,.818,5.1,0.5,4.6,,,,,,,2,
37,4,1924,CHI,HC,18,2,1,3,1,1,3,1,1,1,3,1,1,1,1,13,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,George Halas+,29,Chicago Bears,NFL,11,6,1,4,.857,7.5,2.7,4.8,,,,,,,2,
38,5,1925,CHI,HC,20,7,1,6,1,1,7,1,1,1,4,1,1,1,1,14,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,George Halas+,30,Chicago Bears,NFL,17,9,5,3,.643,3.2,0.8,2.4,,,,,,,7,
39,6,1926,CHI,HC,22,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,George Halas+,31,Chicago Bears,NFL,16,12,1,3,.923,8.1,5.4,2.8,,,,,,,2,
40,7,1927,CHI,HC,12,3,1,4,1,1,4,1,1,1,4,1,1,1,1,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,George Halas+,32,Chicago Bears,NFL,14,9,3,2,.750,5.3,2.6,2.7,,,,,,,3,
41,8,1928,CHI,HC,10,5,1,3,1,1,2,1,1,1,3,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,George Halas+,33,Chicago Bears,NFL,13,7,5,1,.583,3.1,2.1,1.1,,,,,,,5,
42,9,1929,CHI,HC,12,9,1,9,1,1,7,1,1,1,7,1,1,1,1,4,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,George Halas+,34,Chicago Bears,NFL,15,4,9,2,.308,-5.4,-1.6,-3.8,,,,,,,9,
43,10,1933,CHI,HC,10,1,5,3,3,3,4,7,4,3,8,3,1,4,3,2,7,3,3,2,2,8,5,2,3,1,6,2,2,2,1,George Halas+,38,Chicago Bears,NFL,13,10,2,1,.833,6.9,1.9,5.0,1,1,0,1.000,,,1,NFL Champions 
44,11,1934,CHI,HC,11,1,4,1,1,1,1,7,2,1,2,1,1,5,4,1,7,6,3,2,2,3,3,5,4,1,11,9,2,2,2,George Halas+,39,Chicago Bears,NFL,13,13,0,0,1.000,14.3,10.9,3.4,1,0,1,.000,,,1,
45,12,1935,CHI,HC,9,4,1,1,1,1,1,3,2,1,2,1,1,3,2,1,3,4,6,4,1,5,6,4,5,3,7,3,5,1,3,George Halas+,40,Chicago Bears,NFL,12,6,4,2,.600,8.3,5.8,2.5,,,,,,,3,
46,13,1936,CHI,HC,9,2,1,3,4,2,3,3,3,2,2,2,1,6,4,2,3,1,8,1,1,7,6,4,6,6,8,9,1,1,3,George Halas+,41,Chicago Bears,NFL,12,9,3,0,.750,11.0,6.6,4.4,,,,,,,2,
47,14,1937,CHI,HC,10,1,2,1,4,4,2,2,4,3,6,4,1,9,5,1,2,1,5,1,6,6,1,2,1,3,7,9,3,7,9,George Halas+,42,Chicago Bears,NFL,11,9,1,1,.900,9.7,5.6,4.1,1,0,1,.000,,,1,
48,15,1938,CHI,HC,10,5,3,3,2,3,2,3,3,2,2,3,1,5,5,3,3,2,2,4,3,4,5,5,6,3,4,1,4,3,2,George Halas+,43,Chicago Bears,NFL,11,6,5,0,.545,4.1,3.9,0.1,,,,,,,3,
49,16,1939,CHI,HC,10,4,2,2,1,1,1,5,3,1,1,1,1,6,1,2,5,2,3,5,2,2,1,4,1,1,10,10,3,3,2,George Halas+,44,Chicago Bears,NFL,11,8,3,0,.727,12.2,12.3,0.0,,,,,,,2,
50,17,1940,CHI,HC,10,2,1,2,2,3,2,2,1,1,1,2,1,10,5,5,2,1,5,4,5,2,2,2,3,7,9,9,9,3,8,George Halas+,45,Chicago Bears,NFL,11,8,3,0,.727,9.0,6.8,2.2,1,1,0,1.000,,,1,NFL Champions 
51,18,1941,CHI,HC,10,1,2,1,1,1,1,4,1,1,1,1,10,7,1,1,1,1,4,4,1,2,1,1,3,3,10,9,5,1,1,George Halas+,46,Chicago Bears,NFL,11,10,1,0,.909,20.3,19.6,0.7,2,2,0,1.000,,,1,NFL Champions 
52,19,1942,CHI,HC,10,1,3,1,1,1,1,9,2,1,1,1,9,7,2,2,8,1,1,1,1,1,1,1,1,2,10,3,3,1,1,George Halas+,47,Chicago Bears,NFL,5,5,0,0,1.000,21.4,16.0,5.3,,,,,,,1,
53,20,1946,CHI,HC,10,1,2,1,1,2,1,3,2,2,1,4,4,4,3,2,2,1,3,5,2,1,1,3,4,3,7,6,6,1,6,George Halas+,51,Chicago Bears,NFL,11,8,2,1,.800,7.8,6.5,1.3,1,1,0,1.000,,,1,NFL Champions 
54,21,1947,CHI,HC,10,2,10,1,1,1,1,10,6,4,1,2,10,2,2,1,10,1,6,4,3,2,2,1,3,3,10,10,7,3,5,George Halas+,52,Chicago Bears,NFL,12,8,4,0,.667,11.6,9.6,2.1,,,,,,,2,
55,22,1948,CHI,HC,10,2,3,1,2,5,3,4,1,2,1,3,10,6,7,5,4,7,1,1,3,2,2,3,2,7,7,2,1,2,1,George Halas+,53,Chicago Bears,NFL,12,10,2,0,.833,17.3,6.5,10.9,,,,,,,2,
56,23,1949,CHI,HC,10,3,7,3,2,1,4,9,4,5,5,7,7,3,1,1,10,1,2,3,4,2,1,2,1,5,6,6,8,5,6,George Halas+,54,Chicago Bears,NFL,12,9,3,0,.750,9.8,5.2,4.6,,,,,,,2,
57,24,1950,CHI,HC,13,3,10,5,4,3,5,4,2,3,2,10,5,9,7,13,3,5,5,5,12,1,3,7,4,7,9,5,4,13,3,George Halas+,55,Chicago Bears,NFL,12,9,3,0,.750,2.3,-4.5,6.8,1,0,1,.000,,,1,
58,25,1951,CHI,HC,12,6,3,6,5,2,4,2,2,1,1,4,4,7,5,9,3,5,9,8,5,1,7,7,12,2,8,8,10,8,6,George Halas+,56,Chicago Bears,NFL,12,7,5,0,.583,-1.2,-0.2,-0.9,,,,,,,4,
59,26,1952,CHI,HC,12,8,10,11,10,9,8,10,7,8,7,5,10,6,9,7,9,9,10,11,3,12,11,12,10,1,4,9,4,9,11,George Halas+,57,Chicago Bears,NFL,12,5,7,0,.417,-6.8,-1.3,-5.5,,,,,,,5,
60,27,1953,CHI,HC,12,8,12,7,8,6,6,12,11,11,9,11,9,1,4,7,9,6,11,7,9,9,10,8,7,2,7,11,4,12,11,George Halas+,58,Chicago Bears,NFL,12,3,8,1,.273,-4.6,-4.5,0.0,,,,,,,4,
61,28,1954,CHI,HC,12,3,9,7,7,4,5,9,11,12,9,11,5,1,1,3,12,3,7,8,4,11,11,10,9,6,8,5,4,5,4,George Halas+,59,Chicago Bears,NFL,12,8,4,0,.667,4.7,5.2,-0.5,,,,,,,2,
62,29,1955,CHI,HC,12,3,9,3,4,1,2,5,2,1,2,1,5,6,7,3,8,2,12,7,9,3,10,9,12,8,10,8,5,7,5,George Halas+,60,Chicago Bears,NFL,12,8,4,0,.667,0.0,2.3,-2.3,,,,,,,2,
63,30,1958,CHI,HC,12,4,7,3,4,9,4,8,5,4,5,7,7,8,9,5,8,11,1,4,4,2,2,3,2,4,6,1,4,4,1,George Halas+,63,Chicago Bears,NFL,12,8,4,0,.667,5.9,1.1,4.8,,,,,,,2,
64,31,1959,CHI,HC,12,3,4,3,8,8,7,4,9,11,5,11,6,6,5,6,4,7,5,2,3,8,8,4,8,4,10,5,4,2,3,George Halas+,64,Chicago Bears,NFL,12,8,4,0,.667,5.4,-0.8,6.2,,,,,,,2,
65,32,1960,CHI,HC,13,9,12,11,5,8,11,10,9,6,5,4,4,7,8,9,12,9,2,11,13,8,10,11,9,11,2,1,3,13,1,George Halas+,65,Chicago Bears,NFL,12,5,6,1,.455,-8.0,-4.9,-3.0,,,,,,,5,
66,33,1961,CHI,HC,14,6,8,6,9,6,5,5,8,7,5,8,5,10,5,3,8,5,9,9,11,2,5,3,8,11,11,11,13,7,8,George Halas+,66,Chicago Bears,NFL,14,8,6,0,.571,4.3,2.8,1.5,,,,,,,3,
67,34,1962,CHI,HC,14,4,5,4,5,6,4,9,11,12,4,11,6,2,6,7,11,7,5,5,3,8,11,7,13,1,4,4,3,9,3,George Halas+,67,Chicago Bears,NFL,14,9,5,0,.643,6.1,2.7,3.4,,,,,,,3,
68,35,1963,CHI,HC,14,1,1,3,3,10,10,1,3,8,4,13,2,6,8,10,2,11,1,1,1,4,1,1,1,5,2,1,2,1,1,George Halas+,68,Chicago Bears,NFL,14,11,1,2,.917,9.4,-1.5,10.9,1,1,0,1.000,,,1,NFL Champions 
